type,Symbol,AX,reason,price,ROI,index
Exit,AEHR,9/11/19,[True],1.45,0.106870229,949
Exit,AEHR,10/30/19,[True],1.6495,-0.075547834,984
Exit,NOTV,11/7/16,[True],0.78,0.011279658,235
Exit,NOTV,12/1/16,[True],0.662,-0.026470588,252
Exit,NOTV,4/7/17,[True],1.22,-0.075757576,339
Exit,NOTV,8/20/19,[True],2.45,0.24384424,934
Exit,NOTV,10/4/19,[True],3.54,0.075987842,966
Exit,SKLZ,10/12/20,[True],13.95,0.126817447,116
Exit,SKLZ,12/1/20,[True],15.76,0.207662835,151
Exit,SKLZ,9/24/21,[True],11.29,0.080382775,356
Exit,SKLZ,10/5/21,[True],9.02,-0.098,363
Exit,SKLZ,2/3/22,[True],3.94,-0.1416122,447
Exit,SKLZ,9/29/22,[True],1.1,0.078431373,611
Exit,BBBY,5/12/16,[True],43.61,-0.111812627,111
Exit,BBBY,10/14/16,[True],42.03,-0.07300397,219
Exit,BBBY,11/29/17,[True],22,0.104417671,502
Exit,BBBY,2/6/18,[True],20.19,-0.103463588,548
Exit,BBBY,5/17/19,[True],14.9,-0.087009804,869
Exit,BBBY,8/23/19,[True],8.68,0.090452261,937
Exit,CORZ,1/26/22,[True],8.25,0.238738739,202
Exit,CORZ,5/9/22,[True],4.97,-0.12345679,273
Exit,CORZ,6/21/22,[True],2.4,0.126760563,302
Exit,CORZ,7/6/22,[True],1.69,0.123147471,312
